player,team,role,goals,assists,penalties saved,saves,clean sheets,yellow cards,red cards,penalties missed,own goals,goals conceded,minutes,score,rating
Nampalys Mendy,Leicester,Midfielder,0,0,0,0,1,1,0,0,0,5,269,-5.0,-1.67
Lynden Gooch,Sunderland,Midfielder,0,0,0,0,1,3,0,0,0,5,323,-6.0,-1.67
Jordon Mutch,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,1,53,-1.0,-1.7
Odion Ighalo,Watford,Forward,1,1,0,0,2,1,0,0,0,29,1291,-24.5,-1.71
Jonathan Leko,West Brom,Midfielder,0,1,0,0,0,0,0,0,0,3,105,-2.0,-1.71
Alfred N'Diaye,Hull,Midfielder,1,0,0,0,2,4,0,0,0,18,837,-16.0,-1.72
Simon Francis,Bournemouth,Defender,0,1,0,0,8,3,1,0,0,50,2488,-47.5,-1.72
Adama Diomande,Hull,Forward,2,0,0,0,2,1,0,0,0,29,1171,-22.5,-1.73
Jack Rodwell,Sunderland,Midfielder,0,1,0,0,2,4,0,0,0,27,1395,-27.0,-1.74
John O'Shea,Sunderland,Defender,0,0,0,0,2,3,0,0,0,31,1618,-31.5,-1.75
Javier Manquillo,Sunderland,Defender,0,0,0,0,1,2,0,0,0,17,899,-17.5,-1.75
Ashley Westwood,Burnley,Midfielder,0,0,0,0,0,2,0,0,0,3,204,-4.0,-1.76
Steve Cook,Bournemouth,Defender,2,0,0,0,8,5,0,0,1,63,2970,-58.5,-1.77
Federico Fernández,Swansea,Defender,0,1,0,0,3,5,0,0,0,39,1980,-39.0,-1.77
Tom Huddlestone,Hull,Midfielder,1,2,0,0,4,5,1,0,1,38,1892,-37.5,-1.78
Nordin Amrabat,Watford,Midfielder,0,3,0,0,4,3,0,0,0,37,1683,-33.5,-1.79
Adam Smith,Bournemouth,Defender,1,4,0,0,6,6,0,0,1,57,2651,-53.0,-1.8
Andrew Robertson,Hull,Defender,1,2,0,0,3,3,0,0,0,53,2403,-48.0,-1.8
Steven Pienaar,Sunderland,Midfielder,0,0,0,0,2,4,1,0,0,13,748,-15.0,-1.8
Jake Livermore,West Brom,Midfielder,1,1,0,0,4,5,1,0,0,54,2558,-51.5,-1.81
Jordon Ibe,Bournemouth,Midfielder,0,0,0,0,3,0,0,0,0,22,1011,-20.5,-1.82
Julien Ngoy,Stoke,Forward,0,0,0,0,0,0,0,0,0,1,49,-1.0,-1.84
Aaron Ramsey,Arsenal,Midfielder,0,2,0,0,1,3,0,0,0,17,778,-16.0,-1.85
Harry Maguire,Hull,Defender,2,3,0,0,2,4,0,0,0,49,1988,-41.0,-1.86
David Meyler,Hull,Midfielder,1,0,0,0,2,2,0,0,0,23,962,-20.0,-1.87
Andrew Surman,Bournemouth,Midfielder,0,1,0,0,4,1,1,0,0,37,1710,-35.5,-1.87
Stephen Kingsley,Swansea,Defender,0,0,0,0,2,0,0,0,0,19,855,-18.0,-1.89
Jay Fulton,Swansea,Midfielder,0,0,0,0,3,2,0,0,0,15,690,-14.5,-1.89
